ENTREZG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
54242	3.59165628032058	12.0558066585191	3.93686549653935	37.8714421033445	2.30749048579209e-11	9.97066638910764e-08	15.7720949103748
286958	5.88379984230874	59.047326809848	5.14739335559326	25.3143048478325	8.87515219385227e-10	1.91747663148178e-06	12.9826635260497
498659	7.09129707386055	136.361926233564	6.04506296163649	22.4889144870277	2.57760907793793e-09	3.41172882329811e-06	12.0501368620418
54231	4.57056604922136	23.761698332506	6.87870943283385	21.5281718482497	3.81605213687957e-09	3.41172882329811e-06	11.696007768429
25374	4.52525747876408	23.0270465661134	5.27484708205446	21.4469198380724	3.94784635882678e-09	3.41172882329811e-06	11.6651032045851
29266	4.24860346092651	19.0089041765267	4.94561573800317	20.260890260018	6.57595241678348e-09	4.14371100884377e-06	11.1959345472669
289197	4.27155208612978	19.3136922062645	6.56899818485848	20.2143671291356	6.71279265491933e-09	4.14371100884377e-06	11.1768155482533
25709	3.91932127688483	15.1298027814488	6.74073890392008	19.5217157075317	9.17194466211876e-09	4.68723809717952e-06	10.8854085865786
171075	-2.20532935440755	-4.61179809939271	4.30061371396488	-19.3859306292012	9.7628194572126e-09	4.68723809717952e-06	10.8267581726529
25612	2.62822563796945	6.18265129022553	5.39313445804648	18.9060614460779	1.22144433190999e-08	5.27786095818308e-06	10.6153216260906
116547	6.23026635595826	75.0752961639937	8.28626623719942	18.5166018400397	1.47092310095462e-08	5.77805338111354e-06	10.4387984182917
170568	2.19412465074925	4.57611925845827	3.28023514803493	17.4437776336543	2.50372172939744e-08	9.01548466060529e-06	9.92828605679703
85250	-0.72350066527526	-1.65118373570014	6.1013874610652	-16.8751278141405	3.36159466451966e-08	1.11734234964534e-05	9.64227730030659
64507	-1.40790150627746	-2.65350911822846	3.45212237381873	-16.5386276052545	4.01972459826753e-08	1.1619482318169e-05	9.46766249452158
286995	5.42324840093406	42.910190502811	4.64150512131721	16.532200867891	4.03360876585361e-08	1.1619482318169e-05	9.46428750931256
83585	1.47137352126704	2.77285758565807	9.33482753352675	16.1228838048575	5.03747909187924e-08	1.32288354777069e-05	9.24616130988679
64508	-0.648795470824624	-1.56785861892671	3.29510822114714	-16.0575317972513	5.22199329293218e-08	1.32288354777069e-05	9.21074661521365
294286	1.93297686275844	3.81842281805935	3.43928066967449	15.9602227548185	5.51073914831574e-08	1.32288354777069e-05	9.15770787886128
25627	1.88488569362093	3.69323661196179	3.527250410281	15.7654039375279	6.14340454205259e-08	1.39713952769522e-05	9.05040562142214
60414	4.54903164078256	23.4096529395747	4.93567593947807	15.6580296350095	6.52614613722229e-08	1.40997387294688e-05	8.99062101579649
94195	4.57250429735149	23.7936434199128	9.16569218557578	15.4616081520148	7.29642924072773e-08	1.48308265543531e-05	8.88004854545451
29421	3.30219291251504	9.86413751609511	6.91496062764149	15.4016969044507	7.55098783142254e-08	1.48308265543531e-05	8.84600754720742
